Continent,Region/Country,Product,Variable,Year,Unit,Quantity
Europe,Austria,Vineyard,Surface Area,2022,ha, 44 728
Europe,Bulgaria,Vineyard,Surface Area,2022,ha, 65 261
Europe,Cyprus,Vineyard,Surface Area,2022,ha, 7 330
Europe,Czech Republic,Vineyard,Surface Area,2022,ha, 17 885
Europe,France,Vineyard,Surface Area,2022,ha, 812 000
Europe,Germany,Vineyard,Surface Area,2022,ha, 103 400
Europe,Greece,Vineyard,Surface Area,2022,ha, 95 922
Europe,Italy,Vineyard,Surface Area,2022,ha, 718 198
Europe,Malta,Vineyard,Surface Area,2022,ha,  395
Europe,Portugal,Vineyard,Surface Area,2022,ha, 193 270
Europe,Romania,Vineyard,Surface Area,2022,ha, 188 428
Europe,Russia,Vineyard,Surface Area,2022,ha, 98 900
Europe,Serbia,Vineyard,Surface Area,2022,ha, 20 113
Europe,Slovakia,Vineyard,Surface Area,2022,ha, 14 364
Europe,Spain,Vineyard,Surface Area,2022,ha, 954 734
Europe,Sweden,Vineyard,Surface Area,2022,ha,  150
Europe,Albania,Wine,Exports,2022,1000 hl,
Europe,Albania,Wine,Imports,2022,1000 hl,  54
Europe,Albania,Wine,Production,2022,1000 hl,  275
Europe,Austria,Wine,Exports,2022,1000 hl,  660
Europe,Austria,Wine,Imports,2022,1000 hl,  700
Europe,Austria,Wine,Production,2022,1000 hl, 2 327
Europe,Belarus,Wine,Production,2022,1000 hl,  340
Europe,Belgium,Wine,Exports,2022,1000 hl, 1 405
Europe,Belgium,Wine,Imports,2022,1000 hl, 3 344
Europe,Belgium,Wine,Production,2022,1000 hl,  30
Europe,Bosnia and Herzegovina,Wine,Imports,2022,1000 hl,  87
Europe,Bulgaria,Wine,Exports,2022,1000 hl,  328
Europe,Bulgaria,Wine,Production,2022,1000 hl,  747
Europe,Croatia,Wine,Exports,2022,1000 hl,  38
Europe,Croatia,Wine,Imports,2022,1000 hl,  211
Europe,Croatia,Wine,Production,2022,1000 hl,  561
Europe,Cyprus,Wine,Production,2022,1000 hl,  79
Europe,Czech Republic,Wine,Exports,2022,1000 hl,  86
Europe,Czech Republic,Wine,Imports,2022,1000 hl, 1 703
